position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,localScale.x,localScale.y,localScale.z,localPosition.x,localPosition.y,localPosition.z,localRotation.x,localRotation.y,localRotation.z,localRotation.w,frame,timeStamp,
0.1814065,1.448412,1.472642,-0.03789831,0.9961543,0.06933007,-0.03786435,1,1,1,0,0,0,0,0,0,1,2735,40.07592,
0.1813808,1.448456,1.472558,-0.03800711,0.9961473,0.06935453,-0.03789476,1,1,1,0,0,0,0,0,0,1,2736,40.09674,
0.1812522,1.448643,1.472492,-0.0380002,0.9961876,0.06907658,-0.03734424,1,1,1,0,0,0,0,0,0,1,2737,40.10505,
0.1811754,1.448698,1.472462,-0.03803664,0.9961973,0.06892961,-0.03732253,1,1,1,0,0,0,0,0,0,1,2738,40.11703,
0.1810673,1.448813,1.472453,-0.03790769,0.9962457,0.06847144,-0.03700458,1,1,1,0,0,0,0,0,0,1,2739,40.1302,
0.1809931,1.448927,1.47244,-0.03789669,0.996254,0.06845661,-0.03681914,1,1,1,0,0,0,0,0,0,1,2740,40.14545,
0.1809139,1.449005,1.472426,-0.03777406,0.9962745,0.06838124,-0.0365283,1,1,1,0,0,0,0,0,0,1,2741,40.16041,
0.1808184,1.449077,1.472384,-0.03778752,0.9962834,0.06836554,-0.0363001,1,1,1,0,0,0,0,0,0,1,2742,40.17691,
0.1807198,1.449142,1.472349,-0.03776225,0.9962958,0.06833519,-0.03604309,1,1,1,0,0,0,0,0,0,1,2743,40.19074,
0.180613,1.449182,1.472301,-0.03772208,0.996303,0.0684021,-0.03575832,1,1,1,0,0,0,0,0,0,1,2744,40.20497,
0.18049,1.449222,1.472275,-0.03750023,0.9963269,0.06825176,-0.03561282,1,1,1,0,0,0,0,0,0,1,2745,40.22031,
0.1803774,1.449222,1.472263,-0.03762273,0.996332,0.06815983,-0.03551527,1,1,1,0,0,0,0,0,0,1,2746,40.23466,
0.180263,1.449187,1.472245,-0.03759871,0.9963381,0.06824359,-0.03520797,1,1,1,0,0,0,0,0,0,1,2747,40.24833,
0.1801397,1.449142,1.472201,-0.03766172,0.9963101,0.06874505,-0.0349595,1,1,1,0,0,0,0,0,0,1,2748,40.26265,
0.1800062,1.449076,1.472173,-0.03749387,0.9963161,0.06881428,-0.03482684,1,1,1,0,0,0,0,0,0,1,2749,40.2766,
0.1798752,1.448988,1.472166,-0.03754054,0.9963266,0.0687056,-0.03469333,1,1,1,0,0,0,0,0,0,1,2750,40.29012,
0.1797427,1.448919,1.472153,-0.03756551,0.9963262,0.0688502,-0.0343885,1,1,1,0,0,0,0,0,0,1,2751,40.30457,
0.1796129,1.448842,1.472113,-0.03750082,0.996334,0.06877087,-0.03439315,1,1,1,0,0,0,0,0,0,1,2752,40.31918,
0.1794774,1.4488,1.47205,-0.03740718,0.9963383,0.06883641,-0.03423699,1,1,1,0,0,0,0,0,0,1,2753,40.33298,
0.1793285,1.448765,1.471989,-0.03750338,0.9963493,0.06872191,-0.03404326,1,1,1,0,0,0,0,0,0,1,2754,40.34694,
0.1791764,1.44874,1.471918,-0.03747073,0.9963828,0.06838328,-0.03377909,1,1,1,0,0,0,0,0,0,1,2755,40.36059,
0.1790462,1.448738,1.471845,-0.03759864,0.9963927,0.06839091,-0.03332594,1,1,1,0,0,0,0,0,0,1,2756,40.37427,
0.1789275,1.448739,1.47178,-0.03767441,0.9963841,0.06852865,-0.03321308,1,1,1,0,0,0,0,0,0,1,2757,40.38819,
0.1788112,1.448734,1.4717,-0.03753273,0.9964009,0.068389,-0.03315897,1,1,1,0,0,0,0,0,0,1,2758,40.4024,
0.1786922,1.448692,1.47164,-0.03747468,0.9964098,0.06840193,-0.03293034,1,1,1,0,0,0,0,0,0,1,2759,40.41639,
0.1785655,1.448633,1.471547,-0.03760351,0.9963847,0.06886004,-0.0325832,1,1,1,0,0,0,0,0,0,1,2760,40.43018,
0.1784687,1.448587,1.471416,-0.03727636,0.9963801,0.06918533,-0.03241227,1,1,1,0,0,0,0,0,0,1,2761,40.44487,
0.1783823,1.448564,1.471288,-0.03716349,0.9963632,0.06942268,-0.0325532,1,1,1,0,0,0,0,0,0,1,2762,40.45897,
0.1783166,1.448584,1.471161,-0.03720778,0.9963345,0.06977671,-0.03262495,1,1,1,0,0,0,0,0,0,1,2763,40.47209,
0.178257,1.448636,1.471039,-0.03739526,0.9963278,0.06975173,-0.03266905,1,1,1,0,0,0,0,0,0,1,2764,40.486,
0.1781831,1.44875,1.470902,-0.03760561,0.9963307,0.06970339,-0.0324416,1,1,1,0,0,0,0,0,0,1,2765,40.50022,
0.1781036,1.448878,1.470739,-0.03788045,0.9963213,0.06970653,-0.03240291,1,1,1,0,0,0,0,0,0,1,2766,40.51397,
0.1780246,1.449116,1.470449,-0.03801681,0.9963417,0.06942603,-0.03221805,1,1,1,0,0,0,0,0,0,1,2767,40.52803,
0.1779385,1.449437,1.470039,-0.03814407,0.996353,0.06908763,-0.0324456,1,1,1,0,0,0,0,0,0,1,2768,40.54178,
0.1779257,1.450108,1.469197,-0.03853935,0.9963593,0.0686881,-0.0326292,1,1,1,0,0,0,0,0,0,1,2769,40.55604,
0.1778848,1.450599,1.468529,-0.03877473,0.9963501,0.068562,-0.03289774,1,1,1,0,0,0,0,0,0,1,2770,40.56963,
0.1777483,1.451366,1.4678,-0.03899941,0.9963152,0.06880356,-0.03318433,1,1,1,0,0,0,0,0,0,1,2771,40.58396,
0.1776648,1.452292,1.467026,-0.03886762,0.996369,0.06825651,-0.03285145,1,1,1,0,0,0,0,0,0,1,2772,40.59794,
0.1774451,1.453368,1.466147,-0.03828008,0.9964866,0.06716755,-0.03221241,1,1,1,0,0,0,0,0,0,1,2773,40.61195,
0.1771716,1.454719,1.465233,-0.03551889,0.9967724,0.06523737,-0.03045087,1,1,1,0,0,0,0,0,0,1,2774,40.62551,
0.1768885,1.456255,1.464105,-0.03234038,0.9970772,0.06311736,-0.02841253,1,1,1,0,0,0,0,0,0,1,2775,40.63927,
0.1767117,1.457905,1.462948,-0.02956383,0.9973573,0.06096224,-0.02622901,1,1,1,0,0,0,0,0,0,1,2776,40.653,
0.1768341,1.459787,1.461626,-0.02729427,0.9976203,0.05858678,-0.02400639,1,1,1,0,0,0,0,0,0,1,2777,40.66639,
0.1770179,1.461688,1.460276,-0.02517458,0.99786,0.05583084,-0.02290332,1,1,1,0,0,0,0,0,0,1,2778,40.68077,
0.1771465,1.463567,1.458921,-0.02384349,0.9980478,0.05312751,-0.02257514,1,1,1,0,0,0,0,0,0,1,2779,40.69516,
0.1773738,1.465458,1.457461,-0.02304463,0.9982207,0.05003929,-0.02281074,1,1,1,0,0,0,0,0,0,1,2780,40.70848,
