position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,localScale.x,localScale.y,localScale.z,localPosition.x,localPosition.y,localPosition.z,localRotation.x,localRotation.y,localRotation.z,localRotation.w,frame,timeStamp,
-0.129953,1.151309,1.138058,-0.07393343,0.1772853,-0.8442712,-0.5003099,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,6997,99.63144,
-0.1311102,1.150162,1.13857,-0.07410632,0.1794894,-0.8426811,-0.5021757,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,6998,99.72631,
-0.1320518,1.149977,1.138959,-0.07440983,0.1815813,-0.8420471,-0.5024422,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,6999,99.74606,
-0.1322379,1.150084,1.139066,-0.07455964,0.1816101,-0.8418956,-0.5026636,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7000,99.7566,
-0.1325572,1.150237,1.139222,-0.07413948,0.1818161,-0.8416229,-0.5031077,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7001,99.77129,
-0.1328171,1.150368,1.139348,-0.07374328,0.1817719,-0.8416955,-0.5030603,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7002,99.78497,
-0.1331769,1.150517,1.139507,-0.07314996,0.1817082,-0.8419572,-0.502732,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7003,99.79819,
-0.1339736,1.150849,1.139841,-0.07165284,0.181433,-0.8430771,-0.5011677,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7004,99.81161,
-0.1347413,1.151155,1.140127,-0.06992561,0.1811766,-0.8446233,-0.4988958,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7005,99.82545,
-0.1351572,1.151279,1.14027,-0.06882554,0.1810805,-0.8454707,-0.4976468,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7006,99.83904,
-0.1353178,1.151284,1.140314,-0.06798252,0.1811904,-0.8455492,-0.4975892,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7007,99.85191,
-0.1353637,1.15124,1.140296,-0.06746939,0.1816511,-0.8450716,-0.498302,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7008,99.8655,
-0.1353929,1.151207,1.140263,-0.06729807,0.1823048,-0.8446299,-0.4988351,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,7009,99.87961,
